,a,b,pvalue
0,"('Category Item Filter', 'CF1')","('Future Sales Item Filter', 'CF1')",0.024122628699244315
1,"('Future Sales Item Filter', 'CF1')","('Comment Item Filter', 'CF1')",0.20495899430561187
2,"('Comment Item Filter', 'CF1')","('Availability Item Filter', 'CF3')",1.8963099084947434e-06
3,"('Availability Item Filter', 'CF3')","('Recommendation Item Filter', 'CF5')",0.8956912040559109
4,"('Recommendation Item Filter', 'CF5')","('Availability Item Filter', 'CF2')",0.37167294963902264
5,"('Availability Item Filter', 'CF2')","('Availability Item Filter', 'CF1')",3.759407156233182e-08
6,"('Availability Item Filter', 'CF1')","('Region Item Filter', 'CF1')",0.02759498755969501
7,"('Region Item Filter', 'CF1')","('Item Management Service', 'CF3')",0.10391861224486906
10,"('Category Item Filter', 'CF2')","('Item Management Service', 'CF2')",0.3217446784660865
11,"('Item Management Service', 'CF2')","('Seller Reputation Item Filter', 'CF1')",0.38601513355749806
12,"('Seller Reputation Item Filter', 'CF1')","('Last Second Sales Item Filter', 'CF3')",0.22513074250863643
14,"('Availability Item Filter', 'CF5')","('User Management Service', 'CF1')",0.02038991153911349
15,"('User Management Service', 'CF1')","('Item Management Service', 'CF1')",0.0001113938465495498
17,"('Persistence Service', 'CF3')","('Reputation Service', 'CF1')",0.014114117391518556
20,"('Comment Item Filter', 'CF3')","('Bid and Buy Service', 'CF1')",0.23755057494422713
21,"('Bid and Buy Service', 'CF1')","('Persistence Service', 'CF1')",0.10917623591196592
23,"('Recommendation Item Filter', 'CF2')","('User Management Service', 'CF2')",0.0055872742314708535
24,"('User Management Service', 'CF2')","('Bid and Buy Service', 'CF2')",0.05665372563323673
26,"('Future Sales Item Filter', 'CF2')","('User Management Service', 'CF3')",0.4406733345353099
27,"('User Management Service', 'CF3')","('Persistence Service', 'CF2')",0.2842929049845543
30,"('Last Second Sales Item Filter', 'CF1')","('Comment Item Filter', 'CF2')",0.0008450259071610876
31,"('Comment Item Filter', 'CF2')","('Bid and Buy Service', 'CF3')",0.8021250499771619
33,"('Past Sales Item Filter', 'CF2')","('Authentication Service', 'CF1')",0.13022994276536448
34,"('Authentication Service', 'CF1')","('Comment Item Filter', 'CF5')",0.9064278422475189
37,"('Region Item Filter', 'CF3')","('Buy Now Item Filter', 'CF3')",0.7621564256094279
38,"('Buy Now Item Filter', 'CF3')","('Past Sales Item Filter', 'CF1')",0.15410719997964786
40,"('Region Item Filter', 'CF2')","('Buy Now Item Filter', 'CF1')",0.04367171253330862
42,"('Last Second Sales Item Filter', 'CF5')","('Inventory Service', 'CF1')",0.07345105913742188
43,"('Inventory Service', 'CF1')","('Seller Reputation Item Filter', 'CF3')",0.15791398605442644
45,"('Past Sales Item Filter', 'CF5')","('Authentication Service', 'CF2')",0.7711583852215762
46,"('Authentication Service', 'CF2')","('Authentication Service', 'CF3')",0.049905491771074985
48,"('Buy Now Item Filter', 'CF2')","('Inventory Service', 'CF3')",0.3912219094028462
49,"('Inventory Service', 'CF3')","('Buy Now Item Filter', 'CF5')",0.5930998942497759
51,"('Category Item Filter', 'CF5')","('Reputation Service', 'CF3')",0.5055164304731163
52,"('Reputation Service', 'CF3')","('Seller Reputation Item Filter', 'CF2')",1.407373470748995e-15
55,"('Recommendation Item Filter', 'CF3')","('Inventory Service', 'CF2')",0.18827069935259932
56,"('Inventory Service', 'CF2')","('Bid and Buy Service', 'CF5')",0.09482048904636636
58,"('Reputation Service', 'CF2')","('Reputation Service', 'CF5')",0.6460760586669142
60,"('Future Sales Item Filter', 'CF5')","('Seller Reputation Item Filter', 'CF5')",0.9308541037021534
61,"('Seller Reputation Item Filter', 'CF5')","('Authentication Service', 'CF5')",0.48673330032424267
62,"('Authentication Service', 'CF5')","('Persistence Service', 'CF5')",0.003713245793497711
63,"('Persistence Service', 'CF5')","('Recommendation Item Filter', 'CF1')",0.9127600502497981
64,"('Recommendation Item Filter', 'CF1')","('Inventory Service', 'CF5')",0.9506622973775162
65,"('Inventory Service', 'CF5')","('User Management Service', 'CF5')",0.07554471768794611
66,"('User Management Service', 'CF5')","('Query Service', 'CF3')",8.143000907341429e-06
67,"('Query Service', 'CF3')","('Query Service', 'CF2')",3.1396677336975707e-12
68,"('Query Service', 'CF2')","('Query Service', 'CF1')",0.06204759420546262
69,"('Query Service', 'CF1')","('Query Service', 'CF5')",0.692535989378949
